Epoch,Train Loss,Train Acc,Train F1,Val Loss,Val Acc,Val F1
1,0.7587571113276842,0.8203576341127923,0.818370955675271,0.12514811963812622,0.9665019220208677,0.9685695448677005
2,0.0931667519320812,0.9694635488308115,0.9700551303994487,0.06251497037825367,0.9788577704557935,0.9798786788724339
3,0.05095564730803609,0.9839752407152682,0.9839629614867184,0.04544817603754267,0.985996705107084,0.9866834835254953
4,0.03291032085658924,0.989133425034388,0.9891646566396193,0.03928945787846306,0.9873695771554091,0.9881993585993679
5,0.02681504054279406,0.9909903713892709,0.9911095402812976,0.02244688932147677,0.9928610653487095,0.9933354833360568
6,0.025643740136283955,0.9915405777166437,0.9916393119890519,0.020016431047584715,0.9934102141680395,0.9936229824358954
7,0.018748342354706345,0.994222833562586,0.9943784694346097,0.024076984590987068,0.9923119165293794,0.9926701483850453
8,0.018008233632692525,0.9940852819807428,0.9941040745670328,0.017068761393142978,0.9942339373970346,0.9942269502116964
9,0.015755235190097208,0.9947042640990371,0.9949383839909683,0.02096721123104745,0.9925864909390445,0.9930414672260798
10,0.011822629795554497,0.9961485557083907,0.9962892310489612,0.023514290132666215,0.9928610653487095,0.9925908171320587
11,0.012208192651172872,0.9954607977991747,0.9955915259665079,0.02840047509489463,0.9906644700713894,0.9915763218534922
12,0.010771650685051244,0.9965612104539202,0.9965334092209415,0.014877472768774495,0.9947830862163647,0.9953381468989697
13,0.010351294299659346,0.9962861072902338,0.9963399776513392,0.013191452562267317,0.9958813838550247,0.9959025528552092
14,0.009462543049419845,0.9969050894085282,0.9971181661677189,0.01803545508994519,0.9928610653487095,0.9932292339480966
15,0.008435625860344572,0.9972489683631361,0.9974808183066585,0.027549794525104202,0.9912136188907194,0.9918435051476899
16,0.008434111868355429,0.9969738651994497,0.9970803846872184,0.01687834115077157,0.9939593629873695,0.993841950510099
17,0.00970518974058248,0.9968363136176066,0.9966150023497153,0.0163997907116414,0.9945085118066996,0.994020163049271
18,0.006603781116820175,0.9981430536451169,0.9981967644003613,0.00818626185879463,0.9978034047226798,0.9978105571717829
19,0.004879387969886462,0.9985557083906464,0.9985500596473765,0.007863115249199738,0.9978034047226798,0.9977553618802009
20,0.004290344936842358,0.9986244841815681,0.9986953878464603,0.010061399730412177,0.9972542559033498,0.9970878186666684
21,0.004417979688719273,0.9984869325997249,0.9985382405724729,0.012255582766767739,0.9958813838550247,0.9959262534967857
22,0.003021995863170098,0.9991059147180192,0.9992012525928816,0.009963150557051558,0.9972542559033498,0.9972502420008369
23,0.002882317669447537,0.9993810178817056,0.9993990083151754,0.007312384296484412,0.9986271279516749,0.9984667610685872
24,0.002507697653933012,0.9993810178817056,0.999394480062172,0.011401857491922737,0.9958813838550247,0.9958576197771742
25,0.002311392170646096,0.9993122420907841,0.9993699029185522,0.009116767804036842,0.9964305326743548,0.9963145411076153
26,0.004352117967237802,0.9987620357634113,0.9988004462777131,0.010321986887769958,0.9975288303130149,0.997431528781454
27,0.0025707128777186627,0.9989683631361761,0.9989883001217218,0.010308972973635937,0.9972542559033498,0.9972665656139734
28,0.002005053528852279,0.9993122420907841,0.9993835402343285,0.007532016152160177,0.9978034047226798,0.997717492449238
29,0.0010374682600593303,0.9998624484181569,0.9998424948727295,0.0074908804334438,0.9978034047226798,0.997648856119236
30,0.001573249481460195,0.9993810178817056,0.9993761316645522,0.008356546992648296,0.9978034047226798,0.9977262310805781
31,0.0013464563369284675,0.9997936726272352,0.9997644340538312,0.008102338360150407,0.9972542559033498,0.9971939350374719
32,0.0013664515499260015,0.999656121045392,0.9996657199124953,0.006815139687821193,0.9980779791323449,0.9979535046465724
33,0.0016313781529444652,0.9995185694635488,0.9995191361305449,0.009708662539572251,0.9967051070840197,0.9968794043020193
34,0.0011477187030245403,0.9997248968363136,0.9997131469093895,0.007700688254577319,0.9972542559033498,0.9971389957098926
35,0.0008900257561834942,0.9997936726272352,0.9998022774236213,0.007827858442791538,0.9967051070840197,0.996766290707151
36,0.0013201547380020532,0.9995873452544705,0.9995658981473668,0.009435712915934973,0.9967051070840197,0.9967562675776358
37,0.0012889851739936273,0.999656121045392,0.9997045639139621,0.0070347279951405725,0.9975288303130149,0.9974572949905979
38,0.001062406655255272,0.999656121045392,0.9997149282384482,0.007800361151747205,0.9975288303130149,0.9974705347127256
39,0.001313457305873315,0.9995873452544705,0.9995153563016879,0.006614500510669415,0.9978034047226798,0.997648856119236
40,0.0012533043778790967,0.9995185694635488,0.9995029709745987,0.007798634186178301,0.9972542559033498,0.9972676836803392
41,0.0007036994176627261,0.9999312242090784,0.999926641136201,0.0066397791395033795,0.9975288303130149,0.9974206289156877
42,0.0013141317342928748,0.9997936726272352,0.9997955566809849,0.007110271489238634,0.9972542559033498,0.997379703936807
43,0.0008548096059648604,0.9995873452544705,0.9996114914584185,0.010767996297914416,0.9964305326743548,0.9966878375267689
44,0.0008937957163139835,0.9999312242090784,0.9999385833075162,0.009367168015491766,0.9967051070840197,0.9969798341051365
45,0.0009320111284090111,0.9997248968363136,0.9997332913713215,0.008346395817095143,0.9972542559033498,0.9975746862023954
46,0.0007213204563867577,0.9997248968363136,0.9997169072384857,0.010163609826841615,0.9956068094453597,0.9958391640316596
47,0.0008442080471129189,0.9997248968363136,0.9997380469145908,0.008517967586039324,0.9972542559033498,0.9971876931663319
48,0.0006972605200401767,0.9999312242090784,0.9999214813025282,0.006768775032534349,0.9975288303130149,0.9977927672709797
49,0.002274151616308651,0.9993810178817056,0.9994866243062389,0.00558672256448167,0.9978034047226798,0.997648856119236
50,0.0007791873103646917,0.9997936726272352,0.9998007126329406,0.0067907574530016775,0.9975288303130149,0.9975447407595642
